gene	m
FOXG1	179
FOXH1	33
FOXI1	12
FOXI2	1
FOXI3	1
FOXJ2	1
FOXK1	2
FOXK2	3
FOXL1	4
FOXL2	266
FOXM1	2
FOXN1	26
FOXN3	1
FOXN4	1
FOXO1	8
FOXO3	4
FOXP1	98
foxp1i6	1
foxp1tv2	2
foxp1tv8	3
FOXP2	41
foxp2tv4	1
FOXP3	121
FOXP4	4
FOXR2	1
FOXRED1	10
FPGS	4
FPR1	7
FPR2	3
FRA10A	1
FRAS1	62
FRAT1	1
FRAXF	1
FREM1	37
FREM2	34
FREM3	3
FRG1	2
FRK	1
FRMD3	3
FRMD4A	4
FRMD4B	1
FRMD6	1
FRMD7	104
FRMPD1	2
FRMPD2	1
FRMPD4	7
FRRS1	1
FRRS1L	7
FRY	5
FRYL	3
FRZB	4
FSCB	1
FSCN1	1
FSCN2	16
FSD1L	1
FSHB	9
FSHMD1A	1
FSHR	49
FSIP1	1
FSIP2	8
FST	1
FSTL4	3
FSTL5	3
FTCD	18
FTH1	3
FTHL17	1
FTL	66
FTMT	1
FTO	17
FTSJ1	10
FTSJ3	1
FUCA1	36
FURIN	2
FUS	117
FUT1	52
FUT2	31
FUT3	16
FUT6	9
FUT7	1
FUT8	5
FUZ	5
FXN	67
FXR1	2
fxr1tvX1	2
FXYD1	1
FXYD2	1
FXYD6	1
FYB1	2
FYB2	2
FYCO1	20
FYTTD1	1
FZD1	3
FZD10	1
FZD2	7
FZD3	5
FZD4	125
FZD5	3
FZD6	18
FZD7	1
FZD8	2
FZD9	2
FZR1	1
G3BP1	1
G3BP2	2
G6PC	128
G6PC2	13
G6PC3	45
G6PD	235
GAA	634
GAB1	4
GAB2	9
GAB3	1
GABARAP	3
GABBR1	2
GABBR2	8
GABRA1	54
gabra1tv2	1
GABRA2	3
GABRA3	8
GABRA4	2
GABRA5	8
GABRA6	7
GABRB1	5
GABRB2	20
GABRB3	74
GABRB3-204	1
gabrb3i2	3
gabrb3i4	1
GABRD	7
GABRE	2
GABRG1	2
GABRG2	55
gabrg2tv2	1
GABRG3	4
GABRP	3
GABRQ	2
GABRR2	3
GABRR3	1
GAD1	9
GAD2	1
GADD45A	1
GADD45B	2
GAGE8	1
GAK	5
GAL	3
GAL3ST2	1
GAL3ST3	1
GAL3ST4	3
GALC	275
GALE	29
GALK1	47
GALK2	1
GALM	36
GALNS	362
GALNT11	1
GALNT12	14
GALNT14	4
GALNT17	1
GALNT18	2
GALNT2	8
GALNT3	36
GALNT5	1
GALNT6	1
GALNT8	1
GALNT9	2
GALNTL5	3
GALP	1
GALR1	2
GALR2	1
GALR3	1
GALT	348
GAMT	61
GAN	83
GANAB	20
GAP43	8
GAPDH	4
GAPDHS	1
GAPVD1	6
GAREM1	1
GAREM2	1
GARNL3	1
GARS	47
GAS1	6
GAS2L1	1
GAS2L2	5
GAS5	1
GAS6	1
GAS7	2
GAS8	6
GASK1B	2
GATA1	17
GATA2	171
GATA3	92
GATA4	183
GATA5	32
GATA6	89
GATAD1	1
GATAD2A	3
GATAD2B	22
GATB	2
GATC	1
GATM	22
GBA	505
GBA2	24
GBA3	1
GBAP1	1
GBE1	85
GBF1	2
GBP2	1
GBP3	1
GBP4	2
GBP7	1
GC	5
GCC2	1
GCDH	253
GCGR	12
GCH1	260
GCK	923
GCKR	40
gcktv3	1
GCLC	11
GCLM	1
GCM1	1
GCM2	23
GCN1	4
GCNT2	17
gcnt2c	5
GCSAML	2
GCSH	2
GDA	1
GDAP1	109
GDAP2	3
GDF1	16
GDF11	2
GDF15	5
GDF2	38
GDF3	10
GDF5	60
GDF6	22
GDF7	1
GDF9	21
GDI1	13
GDNF	11
GDPD4	2
GDPD5	1
GEMIN4	5
GEMIN7	1
GEN1	5
GET4	1
GFAP	141
gfapie	1
GFER	6
GFI1	6
GFI1B	17
GFM1	19
GFM2	10
GFOD1	2
GFOD2	1
GFPT1	55
gfpt1msv	6
GFPT2	4
GFRA1	6
GFRA2	1
GGA2	1
GGA3	1
GGCX	45
GGH	6
GGN	1
GGNBP2	4
GGPS1	1
GGT1	1
GGT5	1
GGT7	1
GH1	110
GH2	3
GHITM	1
GHR	122
GHRH	2
GHRHR	78
GHRL	4
GHSR	16
GIGYF1	10
GIGYF2	49
GIMAP4	1
GIMAP5	1
GIMAP7	1
GIMAP8	5
GIN1	1
GINS1	4
GINS3	1
GIP	1
GIPC1	1
GIPC2	1
GIPC3	22
GIPR	8
GIT1	18
GIT2	3
GJA1	114
GJA10	4
GJA1P1	2
GJA3	43
GJA4	2
GJA5	39
GJA8	74
GJA9	1
GJB1	514
GJB2	432
GJB3	40
GJB4	21
GJB6	34
GJC1	2
GJC2	65
GJC3	5
GJD2	1
GJD4	1
GK	38
GK2	1
GLA	1004
GLB1	241
GLCCI1	2
GLCE	1
GLDC	431
GLDN	12
GLE1	18
GLG1	3
GLI1	13
GLI2	98
GLI3	259
GLI4	1
GLIPR1L2	1
GLIS2	3
GLIS3	20
glis3tv1	17
GLMN	49
GLO1	4
GLOD4	1
GLP1R	10
GLRA1	77
GLRA2	7
GLRA4	2
GLRB	19
GLRX3	1
GLRX5	6
GLS	13
GLS2	1
GLT8D1	6
GLT8D2	1
GLUD1	39
GLUD2	1
GLUL	4
GLYAT	3
GLYCTK	6
GLYR1	1
GM2A	12
GMDS	2
GMIP	2
GMNN	3
GMPPA	13
GMPPB	53
GMPR	1
GMPR2	1
GNA11	11
GNA12	1
GNA14	3
GNAI1	8
GNAI2	3
gnai2tv6	1
GNAI3	12
GNAL	36
gnaltv1	2
GNAO1	45
GNAQ	6
GNAS	288
GNAS-AS1	2
gnastv2	3
gnastv4	5
gnastv5	1
gnastv6	4
GNAT1	10
GNAT2	28
GNAZ	1
GNB1	31
GNB1L	7
GNB2	3
GNB3	9
GNB4	5
GNB5	11
GNE	257
gnei2	5
gnei3	1
GNL3L	1
GNMT	6
GNPAT	16
GNPDA2	1
GNPTAB	285
GNPTG	66
GNRH1	13
GNRHR	62
GNS	25
GOLGA2	3
GOLGA3	1
GOLGA4	1
GOLGA5	4
GOLGB1	2
GOLM1	3
GON4L	3
GON7	2
GOPC	2
GORAB	17
GORASP1	2
GORASP2	1
GOSR2	5
GOT1	2
GOT2	4
GP1BA	80
GP1BB	54
GP2	1
GP6	6
GP9	42
GPAA1	11
GPAM	5
GPANK1	1
GPATCH1	1
GPATCH11	1
GPATCH2L	1
GPATCH3	12
GPATCH8	1
GPBAR1	8
GPBP1	1
GPC1	4
GPC3	103
GPC4	14
GPC5	3
GPC6	9
GPCPD1	1
GPD1	10
GPD1L	14
GPD2	5
gpd2c	1
GPHN	20
GPI	50
GPIHBP1	39
GPKOW	2
GPLD1	1
GPM6A	3
GPN1	2
GPNMB	6
GPR1	1
GPR101	18
GPR108	1
GPR12	1
GPR132	1
GPR139	2
GPR143	187
GPR146	1
GPR149	1
GPR15	1
GPR152	1
GPR153	1
GPR158	1
GPR161	1
GPR174	10
GPR179	19
GPR180	7
GPR33	1
GPR35	3
GPR37	2
GPR37L1	1
GPR45	2
GPR55	1
GPR65	1
GPR68	4
GPR75	6
GPR85	2
GPR88	1
GPRASP1	3
GPRASP2	2
GPRC5A	1
GPRC5C	1
GPRC6A	4
GPRIN1	3
GPRIN2	1
GPRIN3	2
GPS1	1
GPSM1	3
GPSM2	12
GPT	3
GPT2	15
GPX1	7
GPX4	4
GPX7	1
GPX8	1
GRAMD1B	4
GRAMD2A	3
GRAMD4	1
GRASP	3
GRB10	6
GRB14	2
GRB7	2
GREB1L	40
GREM1	16
GREM2	3
GRHL1	1
GRHL2	13
GRHL3	30
grhl3i1	1
GRHPR	45
GRIA1	6
GRIA2	22
gria2tv1	2
GRIA3	26
gria3tv1	1
GRIA4	5
GRID1	4
GRID2	22
GRID2IP	1
GRIK1	4
grik1tv2	1
GRIK2	8
GRIK3	5
GRIK4	9
GRIK5	4
GRIN1	42
GRIN2A	173
GRIN2B	122
GRIN2C	8
GRIN2D	12
GRIN3A	17
GRIN3B	11
GRINA	2
GRIP1	18
GRIPAP1	2
GRK1	24
GRK2	1
GRK3	2
GRK4	8
GRK5	4
GRM1	20
GRM3	3
GRM4	2
GRM5	6
GRM6	44
GRM7	17
GRM8	10
GRN	241
GRPEL1	1
GRPR	7
GRSF1	8
GRTP1	1
GRXCR1	10
GRXCR2	2
GSAP	1
GSC	7
GSDMA	1
GSDMB	5
GSDME	15
GSE1	4
GSG1	1
GSK3B	7
GSKIP	1
GSN	14
GSPT1	1
GSPT2	3
GSR	6
GSS	42
GSTA1	2
GSTA2	2
GSTA3	1
GSTCD	1
GSTK1	2
GSTM1	3
GSTM3	6
GSTM4	2
GSTO1	4
GSTO2	1
GSTP1	4
GSTT1	12
GSTT2	1
GSTT2B	1
GSTZ1	2
GTDC1	2
GTF2E1	1
GTF2E2	2
GTF2F1	1
GTF2H1	2
GTF2H3	1
GTF2H4	1
GTF2H5	8
GTF2I	1
GTF2IRD1	6
GTF2IRD2	2
GTF3C1	3
GTF3C2	4
GTF3C3	4
GTPBP1	1
GTPBP2	7
GTPBP3	16
gtpbp3i5	2
GTSE1	1
GUCA1A	25
GUCA1B	7
GUCY1A1	19
GUCY2C	12
GUCY2D	249
GUF1	4
GUSB	68
GXYLT1	22
GXYLT2	1
GYG1	16
GYG2	3
GYPA	13
GYPB	8
GYPC	24
GYPE	2
GYS1	6
GYS2	24
GZF1	2
GZMB	4
GZMH	1
H19	38
H2AFV	2
H2AFX	2
H2AFY	1
H2BFM	2
H2BFWT	3
H3F3A	2
H3F3B	1
H6PD	12
HAAO	2
HABP2	4
HACD1	2
HACE1	16
HACL1	1
HADH	28
HADHA	77
HADHB	69
HAL	11
HAMP	17
HAND1	10
HAND2	6
HAO1	2
HAP1	3
HAPLN3	1
HAPLN4	2
HARS1	14
HARS2	3
HAS1	1
HAS2	1
HAUS6	1
HAUS7	1
HAUS8	1
HAVCR1	7
HAVCR2	4
HAX1	25
HBA1	226
HBA2	312
HBB	903
HBD	116
HBE1	8
HBEGF	1
HBG1	44
HBG2	49
HBM	1
HBP1	1
HBS1L	6
HCAR1	5
HCAR2	1
HCCS	14
HCFC1	21
HCK	1
HCLS1	2
HCN1	42
HCN2	12
HCN4	42
HCP5	1
HCRT	3
HCRTR1	2
HCRTR2	3
HDAC1	6
HDAC10	1
HDAC2	2
HDAC3	1
HDAC4	27
HDAC5	1
HDAC6	3
HDAC7	3
HDAC8	66
HDAC9	4
HDC	2
HDDC3	2
HDGFL2	1
HDHD5	3
HDLBP	2
HDX	2
HEATR1	1
HEATR3	1
HEATR6	1
HECTD1	8
HECTD3	1
HECTD4	3
HECW1	1
HECW2	11
HEG1	1
HELB	2
HELLPAR	5
HELLS	7
HELQ	7
HELZ	3
HELZ2	1
HEMK1	1
HENMT1	1
HEPACAM	31
HEPACAM2	2
HEPH	1
HEPHL1	3
HERC1	11
HERC2	9
HERC6	1
HERPUD2	1
HES1	1
HES3	1
HES5	1
HES6	5
HES7	6
HESX1	28
HEXA	199
HEXB	126
HEXD	3
HEY1	7
HEY2	3
HEYL	1
HFE	61
HFM1	11
HGD	166
HGF	22
HGFAC	3
HGSNAT	77
HHAT	7
HHEX	2
HHIP	4
HHIPL2	1
HIBCH	26
HID1	3
HIF1A	6
HIF1AN	1
HIGD2A	1
HIKESHI	2
HINT1	16
HIP1	8
HIP1R	2
HIRA	5
HIST1H1C	2
HIST1H1E	22
HIST1H2AE	1
HIST1H2AL	1
HIST1H2BD	1
HIST1H2BE	1
HIST1H2BJ	2
HIST1H3A	2
HIST1H3B	1
HIST1H4C	2
HIST1H4I	1
HIST3H3	2
HIVEP1	2
HIVEP2	22
HIVEP3	14
HJURP	1
HJV	72
HK1	13
hk1e	7
HK2	7
HK3	4
HKDC1	15
HLA-A	77
hla-a*23	3
HLA-B	53
hla-b*39_01_01	1
HLA-C	24
HLA-DMB	3
HLA-DOA	5
HLA-DOB	1
HLA-DPA1	1
HLA-DPB1	9
HLA-DPB2	2
HLA-DQA1	6
HLA-DQB1	15
HLA-DQB2	2
HLA-DRA	3
HLA-DRB1	26
hla-drb101	1
HLA-DRB4	2
HLA-DRB5	5
HLA-E	1
HLA-F	2
HLA-G	8
HLA-H	1
HLCS	51
HLTF	3
HLX	4
HMBS	491
HMCN1	13
HMG20A	1
HMG20B	2
HMGA1	4
HMGA2	21
hmga2ib	1
HMGB1	4
HMGB3	1
HMGCL	60
HMGCLL1	1
HMGCR	6
HMGCS2	36
HMGXB3	2
HMGXB4	1
HMOX1	14
HMOX2	2
HMSD	1
HMX1	4
HMX2	2
HNF1A	557
hnf1atv7	1
HNF1B	278
HNF4A	180
hnf4atv2	6
hnf4atv3	1
HNMT	5
HNRNPA0	2
HNRNPA1	14
HNRNPA2B1	6
HNRNPCL1	2
HNRNPD	7
HNRNPDL	2
HNRNPF	1
HNRNPH1	2
HNRNPH2	6
HNRNPH3	1
HNRNPK	17
HNRNPL	1
HNRNPR	4
HNRNPU	78
HNRNPUL1	2
HNRNPUL2	1
HOGA1	42
HOMER1	3
HOMER2	3
HOMEZ	2
HOOK1	1
HOOK2	1
HORMAD1	3
HOTAIR	1
HOXA1	8
HOXA10	5
HOXA11	3
HOXA11-AS	1
HOXA13	30
HOXA2	5
HOXA3	1
HOXA4	2
HOXA5	1
HOXB1	7
HOXB13	6
HOXB3	1
HOXB5	1
HOXB6	3
HOXC10	1
HOXC11	1
HOXC12	1
HOXC13	10
HOXD1	1
HOXD10	3
HOXD11	2
HOXD13	42
HOXD3	2
HOXD4	3
HP	7
HPCA	6
HPD	10
HPF1	1
HPGD	19
HPGDS	2
HPRT1	440
HPS1	68
HPS3	20
HPS4	29
HPS5	33
HPS6	42
HPSE	2
HPSE2	15
HR	55
HRAS	40
hrasp19	1
HRC	1
HRG	6
HRH2	2
HRH3	2
HRH4	3
HRNR	2
HS1BP3	2
HS2ST1	1
HS6ST1	8
HS6ST2	1
HSD11B1	6
HSD11B2	49
HSD17B1	2
HSD17B10	17
HSD17B13	2
HSD17B2	2
HSD17B3	67
HSD17B4	107
HSD3B1	5
HSD3B2	71
HSD3B7	26
HSF2	1
HSF2BP	2
HSF4	24
hsf4b	2
HSFY1	1
HSP90AA1	3
HSP90AB1	2
HSP90B1	2
HSPA14	1
HSPA1A	2
HSPA1B	6
HSPA1L	14
HSPA2	2
HSPA4	1
HSPA4L	1
HSPA5	3
HSPA6	2
HSPA8	8
HSPA9	13
HSPB1	48
HSPB11	1
HSPB2	1
HSPB3	5
HSPB6	2
HSPB7	1
HSPB8	10
HSPBP1	1
HSPD1	8
HSPE1	1
HSPG2	75
HSPH1	3
HTATIP2	1
HTATSF1	3
HTN3	2
HTR1A	9
HTR1B	4
HTR1D	1
HTR2A	11
HTR2B	4
HTR2C	6
HTR3A	7
HTR3B	6
HTR3C	2
HTR3E	2
HTR5A	3
HTR6	1
HTR7	4
HTRA1	57
HTRA2	18
HTRA3	1
HTT	9
HUS1B	2
HUWE1	58
HVCN1	1
HYAL1	3
HYAL2	4
HYDIN	57
HYDIN2	5
hydinib	2
HYKK	1
HYLS1	2
HYOU1	2
HYPK	1
IAPP	4
IARS	15
IARS2	11
IBA57	27
IBSP	2
IBTK	2
ICA1	1
ICAM1	6
ICAM4	2
ICAM5	1
ICE1	2
ICE2	6
iceia	1
ICOS	10
ICOSLG	3
ID3	1
IDE	1
IDH1	5
IDH2	7
IDH3A	9
IDH3B	5
IDO1	4
IDO2	5
IDS	665
IDUA	305
IER2	1
IER3IP1	5
IFI30	2
IFI35	1
IFI44L	2
IFIH1	34
IFIT3	1
IFITM3	8
IFITM5	3
IFNA10	1
IFNA17	1
IFNA2	3
IFNA4	2
IFNAR1	10
IFNAR2	4
IFNB1	1
IFNE	1
IFNG	6
IFNGR1	56
IFNGR2	21
IFNK	1
IFNL1	1
IFNL3	6
IFNL4	3
IFNLR1	2
IFRD1	3
IFRD2	1
IFT122	24
IFT140	78
IFT172	29
IFT27	5
IFT43	7
IFT52	8
IFT57	2
IFT74	7
IFT80	16
IFT81	10
IFT88	6
IGBP1	2
IGDCC4	1
IGF1	14
IGF1R	105
igf1tv3	1
IGF2	12
IGF2R	7
igf2tv2	2
igf2tv3	1
IGFALS	37
IGFBP1	1
IGFBP3	3
IGFBP4	1
IGFBP5	3
IGFBP6	1
IGFBP7	3
IGFBPL1	1
IGFL2	1
IGHA1	2
IGHG1	1
IGHG2	5
IGHG3	4
IGHG4	1
IGHM	21
IGHMBP2	148
IGHV3-38	1
IGHV3-53	1
IGHV4-28	1
IGHV4-4	1
IGHV6-1	1
IGKC	1
IGKV@	5
IGKV1-12	1
IGKV1-39	1
IGKV3-7	1
IGLL1	3
IGLL5	1
IGSF1	44
IGSF10	14
IGSF22	1
IGSF3	2
IGSF5	1
IGSF8	1
IHH	35
IKBIP	2
ikbiptv2	1
IKBKB	9
IKBKE	3
IKBKG	156
IKZF1	49
ikzf1tv15	3
IKZF2	2
IKZF3	2
IL10	21
IL10RA	47
IL10RB	25
IL11	2
IL11RA	23
IL12A	2
IL12B	21
IL12RB1	101
IL12RB2	13
IL13	5
IL13RA1	1
IL15RA	2
IL16	2
il16tv3	2
IL17A	4
IL17F	5
IL17RA	19
IL17RB	2
IL17RC	4
IL17RD	15
IL17REL	3
IL18	5
IL18BP	1
IL18R1	2
IL18RAP	2
IL19	1
IL1A	7
IL1B	9
IL1R1	3
IL1RAPL1	43
IL1RL1	12
IL1RL2	3
IL1RN	18
IL2	2
IL20	1
IL20RA	3
IL20RB	3
IL21	3
IL21R	10
il21rtv3	1
IL22	6
IL23R	10
IL25	1
IL27	3
IL27RA	3
IL2RA	23
IL2RB	6
IL2RG	267
IL3	3
IL31	1
IL31RA	2
IL32	2
IL33	5
IL34	2
IL36B	1
IL36RN	27
IL37	1
IL4	4
IL4R	12
IL5	1
IL5RA	3
IL6	9
IL6R	12
IL6ST	3
IL7	1
IL7R	62
IL9	3
ILDR1	32
ILF2	1
ILF3	2
ILK	14
ILVBL	2
IMMP2L	23
immp2lst	5
immp2ltv2	2
IMMT	2
IMPA1	2
IMPA2	2
IMPAD1	5
IMPDH1	29
IMPDH2	5
IMPG1	15
IMPG2	48
INA	1
INAVA	3
INCA1	1
INCENP	2
INF2	79
ING1	1
INHA	10
INHBA	2
INHBB	2
INHBC	2
INIP	2
INMT	4
INO80	7
INO80B	2
INO80D	1
INPP1	1
INPP4A	3
inpp4ab	1
INPP4B	1
INPP5A	3
INPP5B	2
INPP5D	2
inpp5dtvx1	1
INPP5E	56
INPP5F	2
INPP5J	1
INPP5K	10
INPPL1	32
INS	89
INS-IGF2	1
INSIG1	1
INSIG2	4
INSL3	8
INSL6	2
INSR	203
INSRR	2
INTS1	9
INTS10	2
INTS13	2
INTS14	1
INTS5	1
INTS6	4
INTS6L	1
INTS7	1
INTS8	4
INTU	12
INVS	38
IP6K3	2
IPMK	1
IPO13	2
IPO8	1
IPO9	2
IPP	3
IQCB1	44
IQCC	2
IQCE	2
IQCK	1
IQGAP1	4
IQGAP2	5
IQGAP3	7
IQSEC1	2
IQSEC2	99
iqsec2tv2	2
IQSEC3	1
IRAK1	3
IRAK2	3
IRAK3	5
IRAK4	31
IREB2	6
IRF1	2
IRF2	1
IRF2BP2	3
IRF2BPL	22
IRF3	2
IRF4	5
IRF5	12
IRF6	351
IRF7	5
IRF8	11
IRF9	5
IRGC	1
IRGM	5
IRS1	26
IRS2	12
IRS4	6
IRX1	6
IRX3	3
IRX4	7
IRX5	6
ISCA1	2
ISCA2	6
ISCU	3
ISG15	3
ISL1	10
ISLR2	1
ISM1	2
ISYNA1	6
ITCH	4
ITFG2	1
ITGA1	1
ITGA10	1
ITGA11	3
ITGA2	14
ITGA2B	250
ITGA3	11
ITGA4	2
ITGA5	1
ITGA6	9
itga6tv1	2
ITGA7	11
ITGA8	8
ITGA9	4
ITGAE	2
ITGAM	6
ITGAV	5
ITGAX	3
ITGB1	2
ITGB1BP1	1
ITGB2	126
ITGB3	192
ITGB4	114
itgb4tv1	4
itgb4tv2	1
ITGB5	2
ITGB6	8
ITGB8	1
ITIH1	2
ITIH2	1
ITIH3	3
ITIH4	2
ITIH6	3
ITK	20
ITM2A	1
ITM2B	6
ITM2C	1
ITPA	11
ITPK1	2
ITPKB	1
ITPKC	1
ITPR1	115
itpr1tv3	1
ITPR2	14
ITPR3	6
ITPRID1	3
ITSN1	13
ITSN2	6
IVD	102
IYD	5
IZUMO3	1
JADE1	1
JADE2	1
JAG1	634
JAG2	4
JAGN1	9
JAK1	9
JAK2	30
JAK3	89
JAKMIP1	3
JAKMIP2	2
JAM3	4
JARID2	21
JAZF1	2
JCAD	2
JKAMP	1
JMJD1C	31
JMJD6	2
JMJD7	1
JMJD7-PLA2G4B	1
JPH1	1
JPH2	17
JPH3	2
JRK	2
JSRP1	2
JUN	3
JUP	55
KALRN	4
kalrntv2	1
kalrntv3	1
KANK1	10
KANK2	3
KANK4	2
KANSL1	79
KANSL1L	1
KANSL2	2
KARS	33
KAT14	1
KAT2B	4
KAT5	2
KAT6A	70
KAT6B	83
KAT7	1
KAT8	1
KATNAL2	6
KATNB1	11
KAZN	1
KBTBD11	1
KBTBD12	2
KBTBD13	15
KBTBD6	1
KBTBD8	1
KCNA1	50
KCNA2	23
KCNA3	2
KCNA4	1
KCNA5	29
KCNAB1	1
KCNAB2	5
KCNAB3	2
KCNB1	32
KCNB2	5
KCNC1	9
KCNC2	1
KCNC3	13
KCNC4	2
KCND2	5
KCND3	31
KCNE1	56
KCNE2	25
KCNE3	8
KCNE4	3
KCNE5	5
KCNG1	1
KCNG4	2
KCNH1	14
KCNH2	963
kcnh2tv2	1
kcnh2tv3	4
KCNH3	3
KCNH4	1
KCNH5	1
KCNH6	6
KCNH7	9
KCNH8	2
KCNIP1	1
KCNIP4	1
KCNJ1	72
KCNJ10	36
KCNJ11	194
KCNJ12	3
KCNJ13	11
KCNJ14	1
KCNJ15	4
KCNJ16	2
KCNJ18	17
KCNJ2	94
KCNJ3	4
KCNJ4	1
KCNJ5	22
KCNJ6	4
KCNJ8	8
KCNJ9	3
KCNK17	2
KCNK18	8
KCNK3	25
KCNK4	2
KCNK5	7
KCNK6	3
KCNK7	2
KCNK9	3
KCNMA1	24
kcnma1tv3	1
kcnma1tv7	2
KCNMB1	4
KCNMB3	1
KCNN3	8
KCNN4	6
KCNQ1	661
KCNQ1OT1	8
KCNQ2	358
KCNQ3	39
KCNQ4	54
KCNQ5	9
KCNS1	2
KCNS2	1
KCNS3	3
KCNT1	54
KCNT2	5
KCNU1	2
KCNV1	1
KCNV2	96
KCTD1	11
KCTD11	1
KCTD13	14
KCTD17	3
KCTD18	1
KCTD19	2
KCTD20	2
KCTD21	1
KCTD3	3
KCTD6	2
KCTD7	42
KCTD9	1
KDELC2	1
KDELR1	1
KDELR3	2
KDF1	3
KDM1A	17
KDM1B	1
KDM2A	2
KDM2B	5
KDM3A	7
KDM3B	19
KDM4B	3
KDM4C	4
KDM5A	5
KDM5B	42
KDM5C	59
KDM6A	82
KDM6B	20
KDM7A	1
KDM8	1
KDR	35
KDSR	10
KEAP1	3
KEL	106
KERA	17
KHDC3L	7
KHDRBS1	3
KHDRBS3	1
KHK	3
KIAA0100	2
KIAA0232	1
KIAA0319	2
KIAA0513	2
KIAA0556	7
KIAA0586	33
KIAA0753	7
KIAA0825	2
KIAA1109	19
KIAA1210	1
KIAA1211	1
KIAA1211L	2
KIAA1217	1
KIAA1324	2
KIAA1549	10
KIAA1549L	1
KIAA1586	1
KIAA1614	1
KIAA1755	1
KIAA1958	1
KIAA2026	2
KIDINS220	16
KIF11	93
KIF12	5
KIF13A	1
KIF13B	2
KIF14	19
KIF15	1
KIF16B	1
KIF17	3
KIF18A	4
KIF19	3
KIF1A	53
kif1asv	7
KIF1B	13
kif1bia	4
KIF1BP	10
KIF1C	19
KIF20A	2
KIF21A	17
KIF21B	2
KIF22	4
KIF23	3
KIF24	5
KIF26B	14
KIF2A	8
KIF2B	1
KIF3C	1
KIF4A	7
KIF4B	1
KIF5A	86
KIF5B	5
KIF5C	7
KIF6	3
KIF7	50
KIF9	2
KIFAP3	4
KIFC3	1
KIR2DL1	3
KIR2DL2	1
KIR2DL3	1
KIR2DL4	2
KIR2DL5A	1
KIR2DS1	1
KIR2DS3	1
KIR2DS4	1
KIR3DL1	10
KIR3DL2	2
KIR3DL3	1
KIR3DS1	2
KIRREL2	2
KIRREL3	15
KISS1	15
KISS1R	43
KIT	124
KITLG	15
KIZ	4
KL	16
KLB	10
KLC2	5
KLC4	1
KLF1	110
KLF10	7
KLF11	13
KLF12	3
KLF13	1
KLF15	1
KLF2	2
KLF4	6
KLF5	2
KLF6	3
KLF7	4
KLF8	2
KLHDC1	1
KLHDC10	2
KLHDC3	1
KLHDC4	2
KLHDC8B	3
KLHL1	2
KLHL10	5
KLHL13	1
KLHL14	2
KLHL15	4
KLHL17	1
KLHL18	2
KLHL20	1
KLHL24	9
KLHL25	9
KLHL28	2
KLHL3	38
KLHL33	2
KLHL38	1
KLHL4	1
KLHL40	26
KLHL41	9
KLHL6	1
KLHL7	17
KLHL9	4
KLK1	8
KLK12	6
KLK14	2
KLK15	2
KLK3	15
KLK4	13
KLK6	1
KLK7	2
KLK8	1
KLKB1	14
KLLN	8
KLRB1	1
KLRC1	1
KLRC2	2
KLRC4	1
KLRD1	1
KLRK1	2
KMO	2
KMT2A	149
KMT2B	58
KMT2C	64
KMT2D	829
KMT2E	39
KMT5A	1
KMT5B	27
kmt5btv2	1
kmt5btv3	1
KNDC1	1
KNG1	9
kng1i2	1
KNL1	6
KPNA1	2
KPNA7	3
KPRP	2
KPTN	5
KRAS	48
krastva	3
KREMEN1	5
KRIT1	304
KRT1	70
KRT10	79
KRT12	25
KRT13	11
krt13tv1	1
KRT14	135
KRT15	2
KRT16	37
KRT17	37
KRT18	15
KRT2	18
KRT20	1
KRT24	1
KRT25	4
KRT26	1
KRT3	4
KRT31	1
KRT38	1
KRT4	4
KRT5	168
KRT6A	49
KRT6B	8
KRT6C	5
KRT7	1
KRT71	1
KRT74	4
KRT75	4
KRT76	1
KRT8	28
KRT80	2
KRT81	5
KRT82	2
KRT83	4
KRT85	6
KRT86	12
KRT9	32
KRTAP1-1	1
KRTAP1-3	1
KRTAP10-5	1
KRTAP25-1	1
KRTAP4-4	1
KRTAP4-8	1
KRTAP5-4	1
KRTAP9-3	2
KSR2	30
KXD1	1
KY	4
KYAT3	1
KYNU	8
L1CAM	300
L1TD1	1
L2HGDH	81
L3MBTL1	1
L3MBTL3	1
LACC1	4
LAGE3	4
LAMA1	49
LAMA2	409
LAMA3	57
lama3tv1	9
LAMA4	30
LAMA5	35
LAMB1	11
LAMB2	132
LAMB3	129
LAMB4	7
LAMC1	12
lamc1-as1	1
LAMC2	42
LAMC3	22
LAMP1	2
LAMP2	110
lamp2b	6
LAMP3	1
LAMTOR2	1
LAPTM4B	1
LAPTM5	1
LARGE1	28
LARGE2	1
LARP1	1
LARP4	2
LARP4B	3
LARP6	1
LARP7	14
LARS	11
LARS2	21
LAS1L	4
LAT	18
LATS1	1
LATS2	1
LBH	2
LBP	5
LBR	33
LBX1	1
LBX2	2
LCA5	50
LCA5L	1
LCAT	117
LCE1B	1
LCE3B	1
LCE3C	1
LCE3D	1
LCK	3
LCMT2	1
LCN1	1
LCN10	1
LCN12	1
LCN9	1
LCP1	2
LCT	31
LDAH	2
LDB1	1
LDB3	14
ldb3i2	7
ldb3i3	3
ldb3i6	2
ldb3z4	35
LDHA	10
LDHB	17
LDHD	2
LDLR	2286
LDLRAD1	1
LDLRAD4	2
LDLRAP1	32
LECT2	1
LEF1	2
LEFTY1	2
LEFTY2	3
LEKR1	1
LEMD2	3
LEMD3	36
LENG1	1
