gene	AF5	AF4	AF3	AF2	FUNC	SYN
AC012414.1	0	0	0	1	1	0
AC012493.2	17	3	1	3	24	9
AC012499.1	0	0	0	0	2	0
AC013269.5	0	0	1	2	3	6
AC013449.1	35	8	0	1	99	37
AC013468.1	2	0	1	0	5	5
AC015969.3	0	0	0	1	2	0
AC015971.2	1	0	0	0	6	0
AC015987.2	22	0	0	0	44	16
AC015989.2	7	4	4	0	26	10
AC016251.1	10	7	1	0	53	20
AC016582.2	0	1	0	0	1	0
AC016586.1	30	6	0	0	68	26
AC016723.4	0	0	0	0	2	0
AC016745.1	24	3	1	0	28	19
AC016757.3	37	8	1	3	81	26
AC016885.1	5	4	2	1	12	2
AC017028.1	23	4	1	0	57	22
AC017104.2	26	4	3	1	66	28
AC017116.11	0	0	0	0	1	0
AC018470.1	60	13	2	2	114	10
AC018630.1	0	0	0	2	2	1
AC018720.10	2	1	0	0	13	0
AC018755.1	44	7	1	6	123	47
AC018766.4	0	0	0	0	1	0
AC018766.6	0	0	0	0	3	0
AC018816.3	18	3	1	0	51	17
AC018867.1	2	0	0	1	10	3
AC018867.2	4	0	0	0	12	1
AC019171.1	33	5	0	0	55	18
AC019206.1	6	3	1	0	10	1
AC019294.1	42	10	2	0	105	42
AC019349.5	2	0	0	0	2	0
AC020629.1	0	0	0	1	1	0
AC020907.1	36	10	1	3	94	38
AC020922.1	26	5	3	0	73	34
AC020952.1	0	0	0	1	1	1
AC021016.6	0	0	0	0	1	0
AC021218.2	63	15	4	1	150	55
AC021860.1	40	13	1	3	65	32
AC022007.5	0	1	0	0	3	0
AC022173.2	0	1	0	0	1	0
AC022182.3	0	0	0	0	1	0
AC022201.5	1	0	0	0	2	0
AC022210.1	0	0	0	1	1	0
AC022400.2	14	3	2	0	23	6
AC022431.2	17	6	1	1	47	21
AC022498.1	26	5	1	1	67	22
AC022532.1	13	1	1	0	29	0
AC023469.1	20	1	1	0	48	11
AC023490.1	1	1	0	0	2	0
AC023590.1	13	2	0	0	23	2
AC023632.1	5	2	1	1	23	11
AC024580.1	32	9	5	0	81	28
AC024592.12	15	3	0	2	36	3
AC024940.1	33	1	2	0	78	31
AC025165.8	0	1	0	0	1	0
AC025278.1	10	2	3	4	39	18
AC025287.1	21	6	1	1	86	20
AC025442.3	0	0	0	0	1	0
AC025918.2	0	0	0	0	1	0
AC026202.1	18	7	2	1	50	11
AC026310.1	23	8	0	1	40	17
AC026369.1	4	0	0	0	4	2
AC026407.1	5	0	0	0	12	0
AC026703.1	16	2	1	0	72	28
AC026740.1	0	0	0	1	1	1
AC027307.3	8	4	0	1	13	9
AC027309.1	0	0	0	0	0	2
AC027601.1	2	0	0	0	3	0
AC027763.2	15	4	2	1	42	9
AC034102.1	0	0	0	0	1	0
AC034220.3	0	0	0	0	3	0
AC034228.2	0	0	0	0	1	0
AC037199.1	0	0	0	0	1	0
AC037459.4	3	0	0	0	15	2
AC040160.1	28	4	0	2	74	31
AC040977.1	18	2	0	1	57	9
AC046143.3	1	0	0	0	1	0
AC055736.1	0	0	0	0	0	1
AC061992.1	41	8	1	2	93	23
AC062017.1	48	10	3	3	109	23
AC062028.1	0	1	0	0	4	0
AC064852.4	1	0	0	0	1	0
AC064874.1	23	4	1	2	55	17
AC068134.8	0	0	0	0	1	0
AC068499.10	1	0	0	0	3	0
AC068620.1	0	0	0	3	3	0
AC068987.1	12	6	3	0	31	10
AC069547.2	0	0	0	2	2	0
AC073063.1	3	0	0	0	9	3
AC073072.5	0	0	0	0	2	0
AC073342.1	6	0	0	0	15	0
AC073342.12	1	0	0	0	2	0
AC073343.1	105	21	7	8	285	65
AC073569.1	0	0	0	0	1	0
AC073610.5	2	0	0	0	4	0
AC073657.1	0	0	0	2	2	1
